x,y,state,district
168.6,178.8,WY,WY-1
168.6,168,WY,WY-1
177.9,162.7,WY,WY-1
187.3,168,WY,WY-1
187.3,178.8,WY,WY-1
177.9,184.3,WY,WY-1
445.2,222.1,WV,WV-2
445.2,211.3,WV,WV-2
454.6,206,WV,WV-2
463.9,211.3,WV,WV-2
463.9,222.1,WV,WV-2
454.6,227.5,WV,WV-2
435.9,238.3,WV,WV-1
435.9,227.5,WV,WV-1
445.2,222.1,WV,WV-1
454.6,227.5,WV,WV-1
454.6,238.3,WV,WV-1
445.2,243.6,WV,WV-1
249.6,61.8,WI,WI-8
249.6,51,WI,WI-8
259,45.5,WI,WI-8
268.3,51,WI,WI-8
268.3,61.8,WI,WI-8
259,67.1,WI,WI-8
231,61.8,WI,WI-7
231,51,WI,WI-7
240.3,45.5,WI,WI-7
249.6,51,WI,WI-7
249.6,61.8,WI,WI-7
240.3,67.1,WI,WI-7
221.7,77.9,WI,WI-6
221.7,67.1,WI,WI-6
231,61.8,WI,WI-6
240.3,67.1,WI,WI-6
240.3,77.9,WI,WI-6
231,83.2,WI,WI-6
240.3,77.9,WI,WI-5
240.3,67.1,WI,WI-5
249.6,61.8,WI,WI-5
259,67.1,WI,WI-5
259,77.9,WI,WI-5
249.6,83.2,WI,WI-5
259,77.9,WI,WI-4
259,67.1,WI,WI-4
268.3,61.8,WI,WI-4
277.6,67.1,WI,WI-4
277.6,77.9,WI,WI-4
268.3,83.2,WI,WI-4
212.6,61.7,WI,WI-3
212.6,50.9,WI,WI-3
221.9,45.5,WI,WI-3
231.1,50.9,WI,WI-3
231.1,61.7,WI,WI-3
221.9,67.1,WI,WI-3
231,94,WI,WI-2
231,83.2,WI,WI-2
240.3,77.9,WI,WI-2
249.6,83.2,WI,WI-2
249.6,94,WI,WI-2
240.3,99.5,WI,WI-2
249.6,94,WI,WI-1
249.6,83.2,WI,WI-1
259,77.9,WI,WI-1
268.3,83.2,WI,WI-1
268.3,94,WI,WI-1
259,99.5,WI,WI-1
101.8,57.6,WA,WA-10
101.8,46.8,WA,WA-10
111.1,41.4,WA,WA-10
120.4,46.8,WA,WA-10
120.4,57.6,WA,WA-10
111.1,62.9,WA,WA-10
73.7,73.7,WA,WA-9
73.7,62.9,WA,WA-9
83.1,57.6,WA,WA-9
92.4,62.9,WA,WA-9
92.4,73.7,WA,WA-9
83.1,79,WA,WA-9
83.4,57.6,WA,WA-8
83.4,46.8,WA,WA-8
92.7,41.4,WA,WA-8
102.2,46.8,WA,WA-8
102.2,57.6,WA,WA-8
92.7,62.9,WA,WA-8
55.1,73.7,WA,WA-7
55.1,62.9,WA,WA-7
64.4,57.6,WA,WA-7
73.7,62.9,WA,WA-7
73.7,73.7,WA,WA-7
64.4,79,WA,WA-7
36.4,73.7,WA,WA-6
36.4,62.9,WA,WA-6
45.8,57.6,WA,WA-6
55.1,62.9,WA,WA-6
55.1,73.7,WA,WA-6
45.8,79,WA,WA-6
111.1,73.7,WA,WA-5
111.1,62.9,WA,WA-5
120.4,57.6,WA,WA-5
129.7,62.9,WA,WA-5
129.7,73.7,WA,WA-5
120.4,79,WA,WA-5
120.4,57.6,WA,WA-4
120.4,46.8,WA,WA-4
