state,x,y
WY,158.69240000000002,169.6698
WV,430.0742,214.552712
WI,263.097607,51.4475
WA,35.4074,42.2591
VT,562.362113,47.0074
VA,480.8801,243.176712
UT,118.1258,214.9548
TX,202.2142,385.2369
TN,332.8062,256.0176
SD,169.2929,133.4479
SC,501.3348,335.2802
RI,641.0292,175.8312
PA,452.037244,164.133632
OR,35.1315,96.4757
OK,280.5711,372.4723
OH,384.697588,117.141816
NY,429.2397,60.200882
NV,72.6961,218.5726
NM,194.6594,313.1191
NJ,557.9678,186.8717
NH,618.497513,66.6521
NE,179.6916,212.1516
ND,134.2117,103.80760000000001
NC,471.3802,286.205112
MT,108.6258,129.0726
MS,393.524138,392.89302
MO,312.442587,272.2339
MN,149.464507,37.2393
MI,341.970707,33.6462
MD,482.745913,208.8097
ME,651.497984,26.2728
MA,646.406984,81.542
LA,318.4823,385.5645
KY,397.7041,222.6297
KS,219.4675,284.901891
IN,298.890074,140.546816
IL,206.567852,118.5901
ID,128.5519,185.474
IA,239.8243,232.820761
HI,95.152,465.3863
GA,393.0844,323.0951
FL,494.7593,427.7778
DE,565.1165129999999,228.1592
CT,579.9888,143.7539
CO,117.8268,268.5842
CA,8.5292,144.3376
AZ,114.2421,326.931
AR,355.5622,343.7947
AL,445.13973799999997,383.61762
AK,39.152,465.3863
